#name,ra,dec,z_lens,z_source,zl_phot,zs_phot,Rein,lens_mag_i,source_mag_i,type,discovery,grade,Reference
022802-021201,37.012200,-2.200400,-99.000,-99.000,0.23,-99.00,-99.00,17.21,-99.00,CG,V,B,SuGOHI5
231654+030016,349.226240,3.004679,-99.000,-99.000,-99.00,-99.00,-99.00,17.23,22.26,GG,Y,C,SuGOHI2
222143-005302,335.432250,-0.884136,-99.000,-99.000,0.26,1.33,-99.00,17.24,26.04,CG,"K V",A,"More2012 SuGOHI5 SuGOHI6 More2016"
224800-010259,342.002980,-1.049905,-99.000,-99.000,0.23,-99.00,-99.00,17.25,20.21,GG,Y,B,"HOLISMOKES8 SuGOHI2"
145831+435032,224.632500,43.842400,-99.000,-99.000,0.31,0.95,-99.00,17.26,21.04,CG,V,C,SuGOHI5
150723+424402,226.846500,42.734100,-99.000,-99.000,0.23,1.30,-99.00,17.26,27.12,CG,V,B,SuGOHI5
095140-001420,147.917000,-0.238900,-99.000,-99.000,0.37,1.88,-99.00,17.27,24.97,CG,V,B,SuGOHI5
091439+001050,138.664900,0.180600,-99.000,-99.000,0.17,-99.00,-99.00,17.27,-99.00,CG,V,C,SuGOHI5
123348-000929,188.450900,-0.158000,-99.000,-99.000,0.14,-99.00,-99.00,17.28,-99.00,CG,V,C,SuGOHI5
232409+012728,351.039600,1.457800,-99.000,-99.000,0.19,0.58,-99.00,17.29,19.08,GG,V,B,SuGOHI5
100025+001400,150.107900,0.233500,-99.000,-99.000,0.22,1.81,-99.00,17.32,27.08,CG,V,C,SuGOHI5
221008+063427,332.536300,6.574300,-99.000,-99.000,0.32,0.85,-99.00,17.33,23.47,CG,V,C,SuGOHI5
100152-011827,150.469430,-1.307763,-99.000,-99.000,-99.00,-99.00,-99.00,17.33,21.14,GG,Y,C,SuGOHI2
085446-012137,133.693958,-1.360300,-99.000,-99.000,0.34,0.73,-99.00,17.33,21.67,CG,"CNN K V",A,"More2012 SuGOHI5 LinKS More2016 HOLISMOKES6+13"
085230+002514,133.126200,0.420500,-99.000,-99.000,0.29,-99.00,-99.00,17.35,-99.00,CG,V,B,SuGOHI5
085803-004058,134.512500,-0.682800,-99.000,-99.000,0.26,0.36,-99.00,17.36,19.46,CG,V,C,SuGOHI5
235121+003701,357.838800,0.616900,-99.000,-99.000,0.26,-99.00,-99.00,17.40,-99.00,CG,V,A,SuGOHI5
154219+434528,235.581700,43.757900,-99.000,-99.000,0.27,0.67,-99.00,17.41,18.57,CG,V,C,SuGOHI5
144223+002834,220.598713,0.476125,-99.000,-99.000,-99.00,-99.00,-99.00,17.41,24.87,GG,Y,C,SuGOHI1
022726-022152,36.860584,-2.364474,-99.000,-99.000,-99.00,-99.00,-99.00,17.41,21.47,GG,Y,C,SuGOHI1
083859+022859,129.747700,2.483200,-99.000,-99.000,0.37,1.00,-99.00,17.42,22.47,CG,V,C,"SuGOHI5 LinKS"
092330-011716,140.876297,-1.287830,-99.000,-99.000,0.26,-99.00,-99.00,17.42,-99.00,GG,V,C,SuGOHI6
020211-034645,30.547060,-3.779220,-99.000,-99.000,0.26,-99.00,-99.00,17.44,-99.00,GG,"CNN V",B,"HOLISMOKES8 SuGOHI10 HOLISMOKES6+13 SuGOHI6"
